d_min;d_max;bxh;v;t1;t2;r_max;r_min
12;17;5x3;5;1.8;1.4;0.25;0.16
17;22;6x4;6;2.5;1.8;0.25;0.16
22;30;8x5;8;3.0;2.3;0.25;0.16
30;38;10x6;10;3.5;2.8;0.40;0.25
38;44;12x6;12;3.5;2.8;0.40;0.25
44;50;14x6;14;3.5;2.8;0.40;0.25
50;58;16x7;16;4.0;3.3;0.40;0.25
58;65;18x7;18;4.0;3.3;0.60;0.40
65;75;20x8;20;5.0;3.3;0.60;0.40
75;85;22x9;22;5.5;3.8;0.60;0.40
85;95;25x9;25;5.5;3.8;0.60;0.40
95;110;28x10;28;6.0;4.3;1.00;0.70
110;130;32x11;32;7.0;4.9;1.00;0.70
130;150;36x12;36;7.5;4.9;1.00;0.70
