d;ixdxD;i;D;B
11;;;;
13;;;;
16;;;;
18;;;;
21;;;;
23;6x23x26;6;26;6
26;6x26x30;6;30;6
28;6x28x32;6;32;6
32;8x32x36;8;36;6
36;8x36x40;8;40;7
42;8x42x46;8;46;8
46;8x46x50;8;50;9
52;8x52x58;8;58;10
56;8x56x62;8;62;11
62;8x62x68;8;68;12
72;10x72x78;10;78;12
82;10x82x88;10;88;12
92;10x92x98;10;98;14
102;10x102x108;10;108;16
112;10x112x118;10;118;16
